key,value,date,expansion
Account Hijacking,0.5487981203686969,2015-09-01,unauthorized access;apple account hack;iphone account hack;hack account
DDoS Activity,0.022410988613771915,2015-09-01,malicious activity;phishing attack;ddos;slow internet
Data Breach,0.025483462859208387,2015-09-01,wikileaks diplomacy breach;information steal;hacker steal;security breach;data leak;data breach;password steal;steal identity
Account Hijacking,0.5568407735405747,2015-09-02,iphone account hack;apple account hack;sanga account hack;hack account;account hack;unauthorized access
DDoS Activity,0.012560997650460872,2015-09-02,vulnerability exploit;slow internet;ddos
Data Breach,0.0987710103018254,2015-09-02,hacker steal;steal identity;security breach;ashley madison data breach;data leak;data breach;password steal
Account Hijacking,0.5517802277245617,2015-09-03,iphone account hack;hack account;unauthorized access
DDoS Activity,0.01346466654617748,2015-09-03,malicious activity;vulnerability exploit;ddos;slow internet
Data Breach,0.047623350804265316,2015-09-03,information steal;password steal;security breach;data leak;data breach;hiv data breach;irs data breach;breach iphone data;hiv clinic data breach;steal identity;hacker steal
Account Hijacking,0.011024760527742636,2015-09-04,hack account;unauthorized access
DDoS Activity,0.010934393638170975,2015-09-04,phishing attack;slow internet;ddos;vulnerability exploit;malicious activity
Data Breach,0.01436833544189409,2015-09-04,steal identity;hacker steal;security breach;data leak;data breach
Account Hijacking,0.009217422736309416,2015-09-05,unauthorized access;hack account
DDoS Activity,0.006506416049159588,2015-09-05,slow internet;ddos;malicious activity
Data Breach,0.012470630760889211,2015-09-05,hacker steal info;hacker steal;hacker steal data;security breach;data leak;information steal;hacker steal information;password steal;steal identity
Account Hijacking,0.008765588288451111,2015-09-06,hack account
DDoS Activity,0.0042472438098680645,2015-09-06,ddos;slow internet;vulnerability exploit
Data Breach,0.0024399060184348456,2015-09-06,security breach;data leak;hacker steal;steal identity
Account Hijacking,0.014820169889752394,2015-09-07,hack account;bugzilla account hack
DDoS Activity,0.01066329296945599,2015-09-07,ddos;slow internet;vulnerability exploit
Data Breach,0.008494487619736129,2015-09-07,security breach;data leak;hacker steal
Account Hijacking,0.012741731429604193,2015-09-08,unauthorized access;account hack;hack account
DDoS Activity,0.013103198987890837,2015-09-08,vulnerability exploit;ddos;slow internet;malicious activity
Data Breach,0.010753659859027652,2015-09-08,information steal;hacker steal;whatsapp security breach;security breach;data leak;data breach;steal identity
Account Hijacking,0.01599493945418399,2015-09-09,hack account
DDoS Activity,0.011295861196457618,2015-09-09,vulnerability exploit;malicious activity;slow internet;ddos
Data Breach,0.013916500994035786,2015-09-09,hacker steal;security breach;data leak;data breach;steal identity;privacy breach;information steal
Account Hijacking,0.0115669618651726,2015-09-10,hack account
DDoS Activity,0.011115127417314297,2015-09-10,malicious activity;vulnerability exploit;slow internet;ddos
Data Breach,0.01066329296945599,2015-09-10,excellus breach;security breach;data leak;data breach;reverbnation data breach;steal identity;levee breach;hacker steal
Account Hijacking,0.0076811856135911806,2015-09-11,unauthorized access;hack account
DDoS Activity,0.008223386951021146,2015-09-11,ddos;slow internet
Data Breach,0.02277245617205856,2015-09-11,hacker steal;information steal;excellus data breach;security breach;data leak;data breach;password steal
Account Hijacking,0.5172600759081872,2015-09-12,twitter account hack;fashola twitter account hack;fashola twitter account website hack;fashola n78m website twitter account hack;twitter account;hack account;account hack
DDoS Activity,0.007861919392734501,2015-09-12,slow internet;ddos
Data Breach,0.004699078257726369,2015-09-12,password steal;security breach;data leak;data breach;steal identity;hacker steal
Account Hijacking,0.5358756551599494,2015-09-13,fashola twitter account hack;translate twitter account hack;twitter account;hack twitter account;hack account;inactive/sav account hack;unauthorized access
DDoS Activity,0.006596782938731249,2015-09-13,slow internet;ddos;vulnerability exploit
Data Breach,0.0037050424724380986,2015-09-13,hacker steal;security breach;data leak;password steal;steal identity
Account Hijacking,0.010301825411169347,2015-09-14,hack account;unauthorized access
